time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,-0.82488,0.174235,3.141593,3.141593
0.05,-0.005791,-0.228605,0.012426,0.489842,-3.0,3.0,3.193491,3.147384
0.1,-0.060626,-1.91814,0.138117,4.426206,3.0,-3.0,5.791705,3.202219
0.15,-0.106096,0.097007,0.241531,-0.283707,3.0,-3.0,3.270431,3.247689
0.2,-0.050785,2.114043,0.10946,-4.995456,3.0,-3.0,6.294999,3.192378
0.25,0.099563,3.722912,-0.244323,-8.734553,3.0,-3.0,9.973271,3.042029
0.3,0.295375,3.908002,-0.701857,-9.087731,3.0,-3.0,10.317601,2.846218
0.35,0.480385,3.468403,-1.129383,-7.954603,3.0,-3.0,9.146751,2.661207
0.4,0.642876,3.047115,-1.498574,-6.846673,3.0,-3.0,8.040594,2.498717
0.45,0.786768,2.723595,-1.817563,-5.94432,3.0,-3.0,7.183428,2.354825
0.5,0.916468,2.473919,-2.09563,-5.200084,3.0,-3.0,6.519509,2.225125
0.55,1.034811,2.263304,-2.339367,-4.56451,3.0,-1.278307,5.989029,2.106781
0.6,1.141506,2.00914,-2.544494,-3.65567,3.0,-3.0,5.279712,2.000086
0.65,1.236611,1.787111,-2.714829,-3.166109,3.0,-2.133329,4.921104,1.904982
0.7,1.319105,1.505634,-2.857526,-2.548742,3.0,-3.0,4.499992,1.822487
0.75,1.386577,1.186014,-2.97461,-2.139113,3.0,-3.0,4.232118,1.755015
0.8,1.437134,0.832042,-3.07178,-1.750188,-3.0,-3.0,4.01204,1.704459
0.85,1.43953,-0.738285,-3.149792,-1.37259,-3.0,3.0,3.904775,1.702062
0.9,1.363356,-2.308162,-3.179326,0.186441,-3.0,1.24985,4.316551,1.778237
0.95,1.208945,-3.859627,-3.140477,1.363498,-3.0,3.0,5.509407,1.932647
1.0,0.97963,-5.266313,-3.033927,2.916146,-3.0,3.0,7.079319,2.161962
1.05,0.690384,-6.188178,-2.844936,4.706793,-3.0,3.0,8.634207,2.451209
1.1,0.374103,-6.352073,-2.555376,6.958181,-3.0,3.0,10.146628,2.76749
1.15,0.060263,-6.241467,-2.140757,9.732361,-3.0,3.0,12.155336,3.081329
1.2,-0.262899,-6.926325,-1.563059,13.765409,-3.0,3.0,15.858568,3.404492
1.25,-0.67567,-10.428249,-0.678713,23.476407,3.0,-3.0,25.979265,3.817263
1.3,-1.199751,-8.982624,0.531684,21.267536,-3.0,-3.0,23.497352,4.341343
1.35,-1.531254,-4.865862,1.345584,12.777636,3.0,-3.0,14.511743,4.672847
1.4,-1.699537,-1.986135,1.873395,8.824422,3.0,3.0,10.428869,4.84113
1.45,-1.73805,0.563523,2.286079,7.747761,-3.0,3.0,9.454228,4.879643
1.5,-1.653658,2.819812,2.656978,7.087138,-3.0,3.0,9.393233,4.795251
1.55,-1.464706,4.553299,2.995072,6.456632,-3.0,3.0,9.623361,4.606299
1.6,-1.222972,4.867366,3.307724,6.131179,3.0,3.0,9.553694,4.364565
1.65,-0.97241,4.926922,3.618927,6.455085,3.0,3.0,9.796139,4.114003
1.7,-0.751364,3.733349,3.96868,7.697252,-3.0,-3.0,10.202505,3.892957
1.75,-0.619368,1.580841,4.377346,8.773523,-3.0,3.0,10.619781,3.760961
1.8,-0.60875,-1.324346,4.906382,12.858373,3.0,-3.0,14.325826,3.750342
1.85,-0.734436,-3.778816,5.647086,17.201977,3.0,3.0,18.897106,3.876029
1.9,-0.990707,-4.895224,6.678744,20.900659,3.0,-3.0,22.857871,4.1323
1.95,-1.071251,1.229185,7.421425,10.021645,3.0,3.0,13.220055,4.212844
2.0,-0.914101,4.955813,7.799895,5.190424,-3.0,-3.0,11.348462,4.055694
2.05,-0.596304,7.457329,7.912885,-0.625463,3.0,-2.205809,11.514711,3.737897
2.1,-0.182122,8.951604,7.727257,-6.893873,-3.0,3.0,14.08596,3.323714
2.15,0.265402,9.005774,7.277969,-11.068283,3.0,-3.0,16.274279,2.87619
2.2,0.792585,12.291448,6.470099,-21.466256,3.0,3.0,25.676056,2.349008
2.25,1.341016,8.949861,5.5476,-13.513883,3.0,-1.20049,17.226229,1.800577
2.3,1.745665,7.452792,4.99112,-9.182478,3.0,-3.0,12.912083,1.395928
2.35,2.106038,7.052621,4.586202,-7.167757,3.0,3.0,11.100533,1.035555
2.4,2.445399,6.580378,4.300523,-4.414578,-2.225488,3.0,9.042624,0.696194
2.45,2.751987,5.682627,4.139036,-2.191009,1.947663,3.0,7.374021,0.389605
2.5,3.025977,5.283081,4.065324,-0.829388,-2.76417,3.0,6.718561,0.115615
2.55,3.266581,4.352182,4.053625,0.272276,-3.0,3.0,5.955092,0.124988
2.6,3.462324,3.501363,4.085281,0.930652,-3.0,3.0,5.469739,0.320731
2.65,3.619461,2.813089,4.141537,1.277973,-3.0,3.0,5.189159,0.477868
2.7,3.74655,2.298747,4.2098,1.4269,-3.0,3.0,5.040701,0.604957
2.75,3.851996,1.943677,4.282298,1.458808,-3.0,3.0,4.974811,0.710403
2.8,3.943143,1.722204,4.354719,1.43217,-3.0,3.0,4.962173,0.80155
2.85,4.025975,1.606493,4.42528,1.390997,-3.0,-3.0,4.988078,0.884383
2.9,4.1178,2.10387,4.455476,-0.185519,0.634962,-3.0,5.026424,0.976207
2.95,4.248747,3.160431,4.401546,-1.929386,-2.281604,3.0,5.857495,1.107155
3.0,4.417322,3.597159,4.309143,-1.740654,-3.0,3.0,6.013787,1.27573
3.05,4.607672,4.023206,4.231742,-1.318802,-3.0,3.0,6.162991,1.466079
3.1,4.819588,4.442385,4.181742,-0.626948,-3.0,-3.0,6.358497,1.677995
3.15,5.059957,5.174523,4.141492,-0.903048,1.801032,3.0,6.958683,1.918364
3.2,5.339656,5.925043,4.129656,0.5711,3.0,3.0,7.570854,2.198063
3.25,5.642006,5.971924,4.212953,2.933961,3.0,3.0,8.26275,2.500413
3.3,5.911781,4.545547,4.441088,6.381478,-3.0,3.0,9.422445,2.770188
3.35,6.053391,0.853484,4.886366,11.830775,3.0,3.0,13.154878,2.911798
3.4,5.976569,-4.444084,5.686001,21.593539,-3.0,-3.0,22.943376,2.834976
3.45,5.720992,-3.864043,6.826952,20.275058,3.0,3.0,21.892222,2.5794
3.5,5.675623,1.813183,7.600492,11.524142,-3.0,-3.0,14.152112,2.53403
3.55,5.879069,5.972217,8.002018,4.862516,3.0,3.0,11.438422,2.737476
3.6,6.241825,8.230979,8.126234,0.150298,-3.0,-3.0,11.975756,3.100232
3.65,6.664304,8.412334,8.001809,-4.950304,3.0,-3.0,13.103866,3.522711
3.7,7.087918,8.591475,7.627002,-10.13618,-1.424888,3.0,15.820879,3.946325
3.75,7.507083,8.288491,7.047163,-13.009863,3.0,3.0,17.512157,4.36549
3.8,7.933095,8.433085,6.322765,-14.997349,3.0,-3.0,18.94659,4.791502
3.85,8.345469,7.65837,5.570131,-14.030613,-3.0,3.0,17.70919,5.203877
3.9,8.654112,5.03618,5.023831,-8.691284,3.0,3.0,12.511126,5.512519
3.95,8.881144,4.134039,4.639412,-6.891547,-0.53894,3.0,10.911017,5.739552
4.0,9.064206,3.221639,4.327906,-5.690669,-1.814768,3.0,9.827044,5.922613
4.05,9.201322,2.263255,4.063536,-4.952674,-3.0,3.0,9.104062,6.059729
4.1,9.285751,1.092882,3.829061,-4.460688,-3.0,3.0,8.573478,6.144159
4.15,9.308463,-0.201566,3.615793,-4.070323,-3.0,3.0,8.228754,6.16687
4.2,9.265019,-1.527817,3.423454,-3.596694,-3.0,3.0,8.030369,6.123427
4.25,9.157917,-2.726548,3.259616,-2.918128,-3.0,3.0,7.922802,6.016324
4.3,8.995204,-3.763969,3.135519,-2.010472,-3.0,3.0,7.893396,5.853611
4.35,8.781767,-4.788373,3.061632,-0.919811,-3.0,-3.0,8.05976,5.640174
4.4,8.514234,-5.934987,3.015491,-0.913888,-3.0,-3.0,8.603356,5.372642
4.45,8.186105,-7.209619,2.970321,-0.90771,-3.0,-3.0,9.331262,5.044513
4.5,7.792041,-8.551668,2.921235,-1.118201,-3.0,-3.0,10.224563,4.650448
4.55,7.333577,-9.718454,2.849008,-1.910406,3.0,-3.0,11.125986,4.191984
4.6,6.859888,-9.043751,2.71352,-3.673595,-3.0,3.0,10.792296,3.718296
4.65,6.424442,-8.107657,2.494571,-5.292827,3.0,3.0,10.523692,3.282849
4.7,6.097608,-4.785169,2.16514,-7.968334,-3.0,-3.0,9.990898,2.956016
4.75,5.955391,-0.693481,1.657152,-12.669021,-3.0,3.0,13.101474,2.813799
4.8,6.029118,3.81747,0.891074,-18.791131,-3.0,-3.0,19.411633,2.887525
4.85,6.385428,7.5809,-0.395166,-26.924331,-3.0,3.0,28.161468,3.243835
4.9,6.562737,0.303994,-1.348337,-13.38714,-3.0,-3.0,13.886331,3.421144
4.95,6.468229,-3.993149,-1.893647,-8.757119,-3.0,3.0,10.357837,3.326637
5.0,6.171405,-7.542825,-2.204834,-3.818979,-3.0,-3.0,9.247696,3.029813
5.05,5.75529,-8.821317,-2.317902,-0.805728,3.0,3.0,9.522022,2.613697
5.1,5.330776,-7.93742,-2.276341,2.253322,-3.0,-3.0,8.834837,2.189184
5.15,4.959777,-6.871181,-2.136069,3.221876,3.0,3.0,8.090871,1.818184
5.2,4.652875,-5.43276,-1.943216,4.34753,-3.0,3.0,7.380784,1.511282
5.25,4.396298,-4.874461,-1.699359,5.3834,3.0,-3.0,7.563298,1.254706
5.3,4.190218,-3.380982,-1.46752,3.746652,-3.0,3.0,5.35926,1.048626
5.35,4.024934,-3.262028,-1.265682,4.356336,3.0,-1.323008,5.656919,0.883342
5.4,3.893542,-1.977336,-1.096922,2.288423,-3.0,2.107493,3.303847,0.751949
5.45,3.796611,-1.9165,-0.97885,2.45813,-1.046495,1.823312,3.332052,0.655018
5.5,3.707514,-1.659614,-0.861741,2.238258,-1.320827,1.158601,2.971024,0.565922
5.55,3.632192,-1.362303,-0.761577,1.77704,-1.275431,1.261193,2.415456,0.490599
5.6,3.569884,-1.14013,-0.681564,1.438148,-0.884723,1.364096,2.004028,0.428291
5.65,3.517924,-0.948147,-0.617025,1.159446,-0.695622,1.437002,1.663023,0.376332
5.7,3.474313,-0.805972,-0.563997,0.97872,-0.529359,1.426158,1.426983,0.33272
5.75,3.437126,-0.690557,-0.518872,0.843021,-0.4105,1.387386,1.242626,0.295533
5.8,3.405164,-0.596301,-0.479708,0.739579,-0.320977,1.332943,1.096422,0.263572
5.85,3.377493,-0.518284,-0.445144,0.658169,-0.252938,1.271343,0.977552,0.235901
5.9,3.353385,-0.453205,-0.414233,0.592592,-0.199934,1.207067,0.879207,0.211792
5.95,3.332256,-0.398548,-0.386291,0.538565,-0.157535,1.142765,0.796534,0.190663
6.0,3.313635,-0.352359,-0.360817,0.493099,-0.122597,1.080024,0.72601,0.172043
6.05,3.297139,-0.313106,-0.337435,0.454085,-0.092912,1.019765,0.665045,0.155547
6.1,3.282453,-0.27957,-0.315862,0.420022,-0.066931,0.962488,0.61171,0.140861
6.15,3.269316,-0.250773,-0.295879,0.389832,-0.043573,0.908431,0.564547,0.127723
6.2,3.257512,-0.225922,-0.277313,0.362729,-0.022086,0.857669,0.522449,0.115919
6.25,3.246859,-0.204374,-0.260024,0.338142,-0.001951,0.810173,0.484564,0.105267
6.3,3.237208,-0.185603,-0.243898,0.315644,0.01719,0.765852,0.450232,0.095615
6.35,3.22843,-0.169177,-0.22884,0.29492,0.035578,0.724577,0.418936,0.086838
6.4,3.220418,-0.154738,-0.214768,0.275728,0.05338,0.686203,0.390267,0.078825
6.45,3.21308,-0.141994,-0.20161,0.257884,0.070707,0.650571,0.3639,0.071487
6.5,3.206337,-0.130698,-0.189303,0.241243,0.087635,0.617525,0.33957,0.064745
6.55,3.200124,-0.120648,-0.17779,0.225689,0.104217,0.586909,0.31706,0.058531
6.6,3.194382,-0.111674,-0.167021,0.211128,0.12049,0.558572,0.29619,0.052789
6.65,3.189061,-0.103632,-0.156948,0.19748,0.13648,0.532373,0.27681,0.047468
6.7,3.184117,-0.096403,-0.147527,0.184679,0.152209,0.508176,0.25879,0.042525
6.75,3.179514,-0.089885,-0.138718,0.172664,0.167696,0.485854,0.242018,0.037922
6.8,3.175218,-0.083992,-0.130484,0.161384,0.182956,0.465289,0.226398,0.033625
6.85,3.171199,-0.078651,-0.12279,0.150792,0.198007,0.44637,0.211844,0.029607
6.9,3.167433,-0.0738,-0.115602,0.140844,0.212864,0.428992,0.19828,0.02584
6.95,3.163895,-0.069384,-0.108889,0.131502,0.227543,0.413061,0.185637,0.022302
7.0,3.160566,-0.065357,-0.102624,0.122727,0.242063,0.398487,0.173854,0.018973
7.05,3.157426,-0.06168,-0.096778,0.114485,0.256439,0.385187,0.162874,0.015834
7.1,3.154461,-0.058318,-0.091327,0.106745,0.27069,0.373084,0.152649,0.012868
7.15,3.151654,-0.055241,-0.086245,0.099474,0.284834,0.362106,0.14313,0.010062
7.2,3.148993,-0.052421,-0.081511,0.092646,0.298889,0.352188,0.134276,0.0074
7.25,3.146465,-0.049837,-0.077104,0.086232,0.312874,0.343266,0.126049,0.004873
7.3,3.144059,-0.047466,-0.073004,0.080207,0.326806,0.335285,0.118414,0.002467
7.35,3.141766,-0.045292,-0.069192,0.074546,0.340705,0.328191,0.111337,0.000173
7.4,3.139575,-0.043297,-0.06565,0.069228,0.354588,0.321934,0.104791,0.002018
7.45,3.137478,-0.041468,-0.062363,0.064229,0.368473,0.31647,0.098747,0.004115
7.5,3.135467,-0.03979,-0.059315,0.059531,0.382378,0.311756,0.093182,0.006126
7.55,3.133536,-0.038254,-0.056492,0.055113,0.396319,0.307752,0.088074,0.008057
7.6,3.131677,-0.036847,-0.05388,0.050957,0.410315,0.304423,0.083401,0.009916
7.65,3.129884,-0.03556,-0.051467,0.047046,0.42438,0.301735,0.079145,0.011709
7.7,3.128151,-0.034385,-0.049242,0.043365,0.438531,0.299655,0.075288,0.013441
7.75,3.126474,-0.033313,-0.047193,0.039897,0.452784,0.298157,0.071814,0.015118
