time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,2.176765,0.091941,3.141593,3.141593
0.05,0.009844,0.38886,-0.019188,-0.756176,3.0,-3.0,3.245187,3.131749
0.1,0.072134,2.049108,-0.156917,-4.624947,3.0,-3.0,5.919053,3.069459
0.15,0.203583,3.056327,-0.454974,-6.932513,3.0,-3.0,8.138782,2.938009
0.2,0.362318,3.188352,-0.813221,-7.146306,3.0,-3.0,8.343918,2.779275
0.25,0.51669,2.963471,-1.155746,-6.497075,3.0,-3.0,7.695454,2.624903
0.3,0.658112,2.695949,-1.461292,-5.727488,3.0,-3.0,6.955237,2.48348
0.35,0.786829,2.458703,-1.729502,-5.013167,3.0,-3.0,6.301837,2.354764
0.4,0.904513,2.252721,-1.963818,-4.370603,3.0,-3.0,5.747872,2.237079
0.45,1.012349,2.061462,-2.16756,-3.787995,3.0,-3.0,5.275465,2.129244
0.5,1.110559,1.864273,-2.343424,-3.25396,3.0,-3.0,4.866262,2.031034
0.55,1.198358,1.642339,-2.493644,-2.761262,3.0,-3.0,4.507358,1.943235
0.6,1.274176,1.383904,-2.620149,-2.304397,3.0,-3.0,4.192596,1.867417
0.65,1.336104,1.087245,-2.724573,-1.876819,3.0,-3.0,3.922709,1.805489
0.7,1.382376,0.759331,-2.808182,-1.470318,3.0,-3.0,3.703937,1.759216
0.75,1.411701,0.411273,-2.871815,-1.076439,3.0,-3.0,3.545097,1.729891
0.8,1.423351,0.053971,-2.915919,-0.688231,-3.0,-3.0,3.454203,1.718242
0.85,1.388362,-1.454085,-2.939895,-0.268058,-3.0,-3.0,3.728675,1.753231
0.9,1.278389,-2.934599,-2.942075,0.190531,-3.0,-3.0,4.558016,1.863203
0.95,1.096639,-4.30878,-2.91957,0.725595,-3.0,-3.0,5.638953,2.044954
1.0,0.851354,-5.450036,-2.867593,1.376566,-3.0,-3.0,6.71313,2.290239
1.05,0.558498,-6.180228,-2.779326,2.181854,-3.0,-3.0,7.573159,2.583095
1.1,0.24298,-6.339857,-2.646893,3.133909,-3.0,-3.0,8.088459,2.898613
1.15,-0.06593,-5.93847,-2.4654,4.114796,-3.0,-3.0,8.2803,3.207523
1.2,-0.345417,-5.212661,-2.238173,4.933578,-3.0,-3.0,8.287381,3.48701
1.25,-0.586495,-4.437824,-1.976796,5.472194,-3.0,-3.0,8.212524,3.728088
1.3,-0.790645,-3.743913,-1.695673,5.728332,-3.0,0.205194,8.072699,3.932238
1.35,-0.97073,-3.504434,-1.382844,6.820008,-3.0,-1.794733,8.810053,4.112322
1.4,-1.138815,-3.24288,-1.027851,7.391411,3.0,-3.0,9.193889,4.280408
1.45,-1.269839,-1.911515,-0.694335,5.710885,3.0,-2.91491,7.497394,4.411432
1.5,-1.320176,-0.013891,-0.481164,2.607973,3.0,1.631926,5.190435,4.461769
1.55,-1.303154,0.685618,-0.35222,2.566322,3.0,1.694492,5.189981,4.444746
1.6,-1.253008,1.314987,-0.221597,2.666524,3.0,1.271734,5.310477,4.394601
1.65,-1.167388,2.120218,-0.096626,2.302586,3.0,1.120211,5.326714,4.308981
1.7,-1.037977,3.07152,0.000503,1.532749,3.0,1.135989,5.408545,4.17957
1.75,-0.859113,4.086678,0.051965,0.48928,3.0,1.607335,5.740094,4.000706
1.8,-0.634606,4.874559,0.059114,-0.198341,3.0,2.666131,6.169589,3.776198
1.85,-0.384967,5.082694,0.060576,0.274822,3.0,3.0,6.192705,3.52656
1.9,-0.131979,5.02594,0.095022,1.071417,3.0,3.0,6.093711,3.273572
1.95,0.117711,4.970378,0.161549,1.508211,3.0,3.0,6.01243,3.023882
2.0,0.36628,4.977442,0.236862,1.431867,3.0,3.0,5.880785,2.775313
2.05,0.615156,4.961277,0.299566,1.059966,3.0,3.0,5.675422,2.526437
2.1,0.859814,4.791848,0.344046,0.756698,3.0,3.0,5.372084,2.281779
2.15,1.09067,4.407059,0.380712,0.77166,3.0,3.0,4.936482,2.050923
2.2,1.297279,3.831687,0.427662,1.164048,3.0,2.881584,4.429584,1.844313
2.25,1.472813,3.176866,0.49988,1.766629,3.0,0.817464,4.030901,1.66878
2.3,1.628568,3.021445,0.570144,1.11978,3.0,-0.074889,3.605183,1.513024
2.35,1.77805,2.926386,0.603585,0.295385,3.0,-0.373435,3.297659,1.363543
2.4,1.920696,2.759213,0.601301,-0.327458,3.0,-0.416376,3.093968,1.220897
2.45,2.052834,2.516771,0.574981,-0.685471,3.0,-0.394778,2.884442,1.088758
