step,time,q1,q1d,q2,q2d,wrap_dist
416,20.800,-2.505985,1.715069,0.042531,-0.007137,1.829568
417,20.850,-2.413950,1.979145,0.042078,-0.025728,2.109245
418,20.900,-2.307692,2.284983,0.040789,-0.042148,2.433101
419,20.950,-2.185119,2.632210,0.038867,-0.051995,2.801355
420,21.000,-2.041105,3.142705,0.035147,-0.115030,3.331987
421,21.050,-1.870581,3.690846,0.030171,-0.100454,3.904973
422,21.100,-1.671466,4.282255,0.025909,-0.082063,4.528398
423,21.150,-1.442363,4.883296,0.022555,-0.056839,5.170852
424,21.200,-1.183335,5.468895,0.020049,-0.037619,5.809079
425,21.250,-0.896540,5.981139,0.018349,-0.011716,6.388643
426,21.300,-0.586701,6.377281,0.017554,0.011830,6.870053
427,21.350,-0.260711,6.616146,0.017557,0.031163,7.216242
428,21.400,0.072776,6.671306,0.018232,0.045037,7.343454
429,21.450,0.404313,6.539114,0.019464,0.053506,7.089143
430,21.500,0.724953,6.242715,0.021050,0.053594,6.694397
431,21.550,1.027377,5.821768,0.022717,0.047351,6.194001
432,21.600,1.306502,5.323411,0.024261,0.037654,5.631009
433,21.650,1.559605,4.792450,0.025564,0.027036,5.046944
434,21.700,1.786014,4.264994,0.026583,0.017168,4.475351
435,21.750,1.986602,3.766184,0.027320,0.008858,3.939413
436,21.800,2.163233,3.310886,0.027806,0.002330,3.452525
437,21.850,2.318301,2.905837,0.028081,-0.002487,3.020347
438,21.900,2.454376,2.552099,0.028193,-0.005769,2.643161
439,21.950,2.573986,2.247185,0.028187,-0.007710,2.317946
440,22.000,2.679475,1.986706,0.028110,-0.008525,2.039955
441,22.050,2.772942,1.765503,0.028003,-0.008462,1.803818
442,22.100,2.856224,1.578368,0.027897,-0.007794,1.604219
443,22.150,2.930905,1.420481,0.027814,-0.006784,1.436307
444,22.200,2.998339,1.287618,0.027765,-0.005640,1.295872
445,22.250,3.059688,1.176230,0.027755,-0.004495,1.179414
446,22.300,3.115951,1.083448,0.027783,-0.003413,1.084113
447,22.350,3.168000,1.007018,0.027848,-0.002413,1.007751
448,22.400,3.216608,0.945222,0.027949,-0.001487,0.948607
449,22.450,3.262428,0.895078,0.028134,0.001438,0.903637
450,22.500,3.306218,0.863606,0.028430,0.003301,0.879623
451,22.550,3.349080,0.857796,0.028781,0.003800,0.883010
452,22.600,3.392264,0.876507,0.029171,0.004842,0.912127
453,22.650,3.437000,0.920073,0.029630,0.006296,0.966808
454,22.700,3.484553,0.989517,0.030176,0.007882,1.047730
455,22.750,3.536253,1.086555,0.030807,0.009084,1.156456
456,22.800,3.593545,1.213915,0.031469,0.008259,1.295728
457,22.850,3.658025,1.374979,0.032015,0.003353,1.469118
458,22.900,3.731455,1.572968,0.032231,-0.006347,1.680251
459,22.950,3.815751,1.810737,0.031895,-0.020225,1.932533
460,23.000,3.912950,2.090136,0.030865,-0.035578,2.228425
461,23.050,4.025157,2.411725,0.029160,-0.048262,2.569101
462,23.100,4.155154,2.801934,0.026866,-0.059653,2.980340
463,23.150,4.309161,3.371542,0.022935,-0.113588,3.569866
464,23.200,4.492560,3.974728,0.017929,-0.099134,4.199253
465,23.250,4.707002,4.607581,0.013559,-0.081595,4.866945
466,23.300,4.953158,5.234130,0.009932,-0.059395,5.539090
467,23.350,5.229776,5.813761,0.007098,-0.037044,6.177519
468,23.400,5.533325,6.297471,0.005090,-0.012400,6.736372
469,23.450,5.857843,6.639657,0.003959,0.010330,7.173784
470,23.500,6.195247,6.804423,0.003625,0.027124,7.458266
471,23.550,6.536069,6.774617,0.003940,0.037386,7.364882
472,23.600,6.870632,6.559587,0.004726,0.040395,7.039425
473,23.650,7.190366,6.192541,0.005728,0.035732,6.583424
474,23.700,7.488755,5.719272,0.006696,0.026557,6.038130
475,23.750,7.761690,5.187640,0.007485,0.016293,5.447733
476,23.800,8.007337,4.638694,0.008060,0.007531,4.850438
477,23.850,8.225653,4.102325,0.008459,0.001473,4.273997
478,23.900,8.417799,3.596902,0.008747,-0.002040,3.735209
479,23.950,8.585606,3.131316,0.008967,-0.003981,3.241828
480,24.000,8.731176,2.708144,0.009130,-0.005346,2.795575
481,24.050,8.856646,2.326894,0.009222,-0.006612,2.395274
482,24.100,8.964096,1.986182,0.009230,-0.007734,2.038944
483,24.150,9.055521,1.684347,0.009156,-0.008522,1.724394
484,24.200,9.132813,1.419244,0.009014,-0.008915,1.449020
485,24.250,9.197740,1.188086,0.008822,-0.008992,1.209650
486,24.300,9.251913,0.987585,0.008593,-0.008879,1.002676
487,24.350,9.296776,0.814231,0.008338,-0.008685,0.824319
488,24.400,9.333594,0.664545,0.008063,-0.008489,0.670874
489,24.450,9.363466,0.535250,0.007768,-0.008334,0.538871
490,24.500,9.387332,0.423364,0.007456,-0.008245,0.425163
491,24.550,9.405993,0.326232,0.007125,-0.008231,0.326954
492,24.600,9.420128,0.241523,0.006775,-0.008295,0.241805
493,24.650,9.430302,0.167210,0.006404,-0.008437,0.167637
494,24.700,9.436992,0.101543,0.006010,-0.008652,0.102817
495,24.750,9.440589,0.043012,0.005590,-0.008938,0.047023
496,24.800,9.441417,-0.009687,0.005144,-0.009289,0.021987
497,24.850,9.439738,-0.057674,0.004668,-0.009704,0.060548
498,24.900,9.435762,-0.101922,0.004161,-0.010177,0.103100
499,24.950,9.429655,-0.143276,0.003620,-0.010705,0.143803
500,25.000,9.421542,-0.182477,0.003044,-0.011285,0.182879
501,25.050,9.411514,-0.220183,0.002430,-0.011913,0.220917
502,25.100,9.399631,-0.256988,0.001777,-0.012585,0.258528
503,25.150,9.385924,-0.293436,0.001081,-0.013295,0.296298
504,25.200,9.370398,-0.330044,0.000343,-0.014038,0.334789
505,25.250,9.353032,-0.367315,-0.000440,-0.014804,0.374549
506,25.300,9.333781,-0.405756,-0.001270,-0.015584,0.416128
507,25.350,9.312573,-0.445901,-0.002145,-0.016364,0.460098
508,25.400,9.289309,-0.488334,-0.003067,-0.017124,0.507075
509,25.450,9.263857,-0.533719,-0.004035,-0.017840,0.557751
510,25.500,9.236090,-0.581318,-0.005083,-0.020028,0.611523
511,25.550,9.205915,-0.630373,-0.006315,-0.024888,0.667780
512,25.600,9.173204,-0.683085,-0.007795,-0.029689,0.728586
513,25.650,9.137739,-0.740925,-0.009518,-0.034236,0.795377
514,25.700,9.099206,-0.806204,-0.011457,-0.038022,0.870367
515,25.750,9.057015,-0.887728,-0.013540,-0.039446,0.961795
516,25.800,9.010115,-0.995207,-0.015636,-0.037822,1.078914
517,25.850,8.957157,-1.130899,-0.017606,-0.033457,1.224350
518,25.900,8.896644,-1.298362,-0.019274,-0.024508,1.402013
519,25.950,8.826909,-1.500933,-0.020404,-0.010518,1.615790
520,26.000,8.746123,-1.741524,-0.020772,0.007524,1.869215
521,26.050,8.652240,-2.025928,-0.020232,0.027301,2.168491
522,26.100,8.542389,-2.381097,-0.018675,0.049359,2.539886
523,26.150,8.413007,-2.807423,-0.016202,0.064381,2.984914
524,26.200,8.258602,-3.381179,-0.012045,0.115772,3.578531
525,26.250,8.074847,-3.978311,-0.006985,0.096226,4.202211
526,26.300,7.860356,-4.604642,-0.002657,0.079333,4.863789
527,26.350,7.614433,-5.226261,0.001017,0.059529,5.531248
528,26.400,7.338229,-5.803524,0.003968,0.037333,6.167332
529,26.450,7.035090,-6.289856,0.006106,0.013299,6.728530
530,26.500,6.710764,-6.638458,0.007358,-0.009480,7.171829
531,26.550,6.373198,-6.811498,0.007742,-0.027520,7.463877
532,26.600,6.031803,-6.790552,0.007382,-0.038426,7.380138
533,26.650,5.696278,-6.582847,0.006485,-0.041646,7.061308
534,26.700,5.375320,-6.219465,0.005292,-0.038566,6.608540
535,26.750,5.075622,-5.746339,0.004009,-0.031949,6.063161
536,26.800,4.801420,-5.212982,0.002767,-0.024474,5.470907
537,26.850,4.554568,-4.663216,0.001625,-0.017936,4.872618
538,26.900,4.334978,-4.130263,0.000589,-0.013132,4.299234
539,26.950,4.141190,-3.635868,-0.000363,-0.010143,3.770786
540,27.000,3.970921,-3.191911,-0.001259,-0.008690,3.297902
541,27.050,3.821493,-2.802957,-0.002126,-0.008382,2.884252
542,27.100,3.690139,-2.468732,-0.002990,-0.008856,2.528958
543,27.150,3.574184,-2.186120,-0.003868,-0.009820,2.228535
544,27.200,3.471156,-1.950586,-0.004773,-0.011056,1.978267
545,27.250,3.378823,-1.757123,-0.005713,-0.012406,1.773118
546,27.300,3.295216,-1.600501,-0.006698,-0.013925,1.607931
547,27.350,3.218670,-1.473674,-0.007812,-0.018587,1.475826
548,27.400,3.147772,-1.373706,-0.009144,-0.023566,1.373952
549,27.450,3.081244,-1.298129,-0.010695,-0.028165,1.299880
550,27.500,3.017932,-1.244472,-0.012458,-0.032650,1.251089
551,27.550,2.956652,-1.216446,-0.014393,-0.035527,1.231021
552,27.600,2.895850,-1.225189,-0.016395,-0.035401,1.250200
553,27.650,2.833723,-1.269568,-0.018375,-0.034497,1.306949
554,27.700,2.768468,-1.350635,-0.020275,-0.031660,1.401731
555,27.750,2.698204,-1.470550,-0.021953,-0.024823,1.536297
556,27.800,2.620935,-1.631655,-0.023193,-0.013014,1.712919
557,27.850,2.534548,-1.836227,-0.023758,0.003523,1.934118
558,27.900,2.436830,-2.085794,-0.023471,0.022399,2.201881
559,27.950,2.325170,-2.394716,-0.022244,0.042261,2.530512
560,28.000,2.196049,-2.784595,-0.020071,0.060940,2.941452
561,28.050,2.043396,-3.335555,-0.015961,0.119419,3.513755
562,28.100,1.862360,-3.917340,-0.010711,0.103010,4.122222
563,28.150,1.651138,-4.537694,-0.006112,0.086916,4.776999
564,28.200,1.408522,-5.164330,-0.002130,0.068374,5.447799
565,28.250,1.135101,-5.757881,0.001167,0.046500,6.097653
566,28.300,0.833639,-6.271839,0.003657,0.021814,6.683045
567,28.350,0.509349,-6.657500,0.005236,-0.002694,7.158984
568,28.400,0.169792,-6.872837,0.005887,-0.023204,7.487861
569,28.450,-0.175737,-6.893495,0.005713,-0.036768,7.504529
570,28.500,-0.517347,-6.720775,0.004913,-0.042209,7.215074
571,28.550,-0.845891,-6.381690,0.003744,-0.040502,6.782173
572,28.600,-1.154089,-5.920911,0.002436,-0.034354,6.245682
573,28.650,-1.437126,-5.389175,0.001150,-0.026665,5.652356
574,28.700,-1.692669,-4.832926,-0.000038,-0.019544,5.045487
575,28.750,-1.920476,-4.288237,-0.001107,-0.014047,4.458733
576,28.800,-2.121801,-3.779099,-0.002075,-0.010411,3.914291
577,28.850,-2.298812,-3.318525,-0.002969,-0.008425,3.423881
578,28.900,-2.454088,-2.910670,-0.003820,-0.007712,2.990775
579,28.950,-2.590226,-2.552867,-0.004650,-0.007826,2.611746
580,29.000,-2.709559,-2.237525,-0.005470,-0.008213,2.278874
581,29.050,-2.813974,-1.954794,-0.006268,-0.008307,1.982086
582,29.100,-2.904896,-1.696261,-0.007022,-0.007938,1.712729
583,29.150,-2.983578,-1.463559,-0.007682,-0.006189,1.472097
584,29.200,-3.051767,-1.275008,-0.008126,-0.000729,1.278194
585,29.250,-3.111478,-1.123199,-0.008313,0.002967,1.123637
586,29.300,-3.164438,-1.003891,-0.008326,0.005230,1.004199
587,29.350,-3.212183,-0.913754,-0.008229,0.006565,0.916537
588,29.400,-3.256101,-0.850194,-0.008065,0.007321,0.857940
589,29.450,-3.297469,-0.811315,-0.007862,0.007703,0.826226
590,29.500,-3.337485,-0.795881,-0.007641,0.007823,0.819707
591,29.550,-3.377277,-0.802254,-0.007481,0.005125,0.836206
592,29.600,-3.417953,-0.831281,-0.007475,0.001718,0.876049
593,29.650,-3.460657,-0.883590,-0.007660,-0.002349,0.939467
594,29.700,-3.506577,-0.960299,-0.008077,-0.007252,1.027377
595,29.750,-3.556972,-1.063167,-0.008772,-0.012944,1.141538
596,29.800,-3.613210,-1.194636,-0.009776,-0.018987,1.284537
597,29.850,-3.676799,-1.358057,-0.011073,-0.023795,1.459949
598,29.900,-3.749427,-1.557144,-0.012564,-0.025716,1.671819
599,29.950,-3.832954,-1.795039,-0.014111,-0.024852,1.923789
600,30.000,-3.929382,-2.074123,-0.015613,-0.022667,2.218864
