time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,0.935832,-0.436913,3.141593,3.141593
0.05,0.008928,0.352237,-0.019994,-0.788139,3.0,-3.0,3.249496,3.132665
0.1,0.069372,2.011378,-0.159222,-4.651398,3.0,-3.0,5.928325,3.07222
0.15,0.198811,3.013267,-0.458232,-6.943682,3.0,-3.0,8.134153,2.942781
0.2,0.355286,3.141712,-0.816782,-7.149282,3.0,-3.0,8.33146,2.786306
0.25,0.507311,2.916564,-1.159468,-6.501438,3.0,-3.0,7.684975,2.634282
0.3,0.646414,2.650289,-1.465333,-5.736024,3.0,-3.0,6.949757,2.495179
0.35,0.772909,2.415795,-1.73408,-5.026069,3.0,-3.0,6.301995,2.368684
0.4,0.88856,2.214741,-1.969137,-4.387162,3.0,-3.0,5.753774,2.253032
0.45,0.994676,2.031147,-2.173772,-3.806919,3.0,-3.0,5.287034,2.146916
0.5,1.091621,1.84437,-2.350607,-3.273581,3.0,-3.0,4.883213,2.049972
0.55,1.178729,1.634829,-2.50179,-2.779905,3.0,-3.0,4.529054,1.962864
0.6,1.254497,1.389414,-2.629175,-2.32082,3.0,-3.0,4.217863,1.887095
0.65,1.317013,1.105005,-2.734353,-1.890475,3.0,-3.0,3.949773,1.82458
0.7,1.364445,0.787625,-2.818576,-1.481331,-3.0,-3.0,3.730593,1.777148
0.75,1.367574,-0.673766,-2.881538,-1.040877,-3.0,-3.0,3.603857,1.774018
0.8,1.296582,-2.164689,-2.922516,-0.593166,-3.0,-3.0,4.12103,1.845011
0.85,1.151846,-3.610498,-2.940125,-0.102724,-3.0,-3.0,5.064551,1.989747
0.9,0.937757,-4.921119,-2.931889,0.441569,-3.0,-3.0,6.153476,2.203836
0.95,0.664101,-5.968297,-2.894985,1.045224,-3.0,-3.0,7.157651,2.477492
1.0,0.348027,-6.591103,-2.826297,1.712455,-3.0,-3.0,7.884612,2.793565
1.05,0.01434,-6.660156,-2.723092,2.415699,-3.0,-3.0,8.209033,3.127253
1.1,-0.308769,-6.185604,-2.58584,3.049591,-3.0,-3.0,8.133466,3.450362
1.15,-0.598197,-5.352495,-2.422069,3.449131,-3.0,3.0,7.771625,3.73979
1.2,-0.847068,-4.602379,-2.214789,4.800449,-3.0,3.0,8.064794,3.988661
1.25,-1.060894,-3.993828,-1.944885,5.985832,-3.0,3.0,8.557121,4.202487
1.3,-1.252103,-3.724219,-1.614387,7.289193,-3.0,3.0,9.429367,4.393695
1.35,-1.441936,-3.985275,-1.205015,9.281374,-3.0,0.891863,11.157379,4.583529
1.4,-1.656195,-4.734824,-0.681437,11.98704,3.0,-3.0,13.769198,4.797788
1.45,-1.863687,-3.266978,-0.121652,9.714288,3.0,-2.190509,11.406496,5.00528
1.5,-1.967508,-0.831567,0.257836,5.366747,3.0,-1.710114,7.460755,5.109101
1.55,-1.954593,1.312699,0.43599,1.847056,3.0,-0.991864,5.594282,5.096186
1.6,-1.842962,3.169028,0.458314,-1.016089,3.0,3.0,6.010908,4.984555
1.65,-1.666462,3.921009,0.405844,-1.161195,3.0,3.0,6.324934,4.808055
1.7,-1.448121,4.832328,0.334461,-1.758035,3.0,3.0,6.900682,4.589713
1.75,-1.182463,5.78086,0.226141,-2.565052,3.0,3.0,7.664622,4.324056
1.8,-0.874127,6.480115,0.085742,-2.895349,3.0,2.245292,8.155262,4.01572
1.85,-0.53763,6.85473,-0.058348,-2.592809,3.0,-0.034216,8.200614,3.679223
1.9,-0.181085,7.250111,-0.196721,-2.601881,-3.0,-1.007395,8.391233,3.322678
1.95,0.15311,6.027783,-0.255491,0.370882,3.0,-3.0,6.742998,2.988483
2.0,0.46259,6.310234,-0.256133,-0.358239,-3.0,2.737069,6.869501,2.679002
2.05,0.69917,3.19583,-0.104176,6.231548,3.0,3.0,7.417668,2.442422
2.1,0.830129,2.361536,0.263191,7.752361,3.0,-3.0,8.431375,2.311463
2.15,1.006265,4.595735,0.495724,1.66047,3.0,3.0,5.35568,2.135328
2.2,1.234708,4.495566,0.558739,0.944413,3.0,2.528388,5.00504,1.906884
2.25,1.454275,4.240193,0.591584,0.474648,3.0,1.444388,4.62618,1.687318
2.3,1.661709,4.014875,0.597716,-0.125081,3.0,1.176136,4.322289,1.479883
2.35,1.854066,3.651142,0.584077,-0.3336,2.477622,0.38642,3.929504,1.287526
2.4,2.0281,3.292594,0.561593,-0.499462,-0.705029,-0.960792,3.556106,1.113492
2.45,2.179182,2.73887,0.538594,-0.362984,3.0,-0.493013,2.974808,0.962411
2.5,2.312668,2.60081,0.510586,-0.736834,-3.0,-1.866157,2.873143,0.828925
2.55,2.425452,1.909584,0.486447,-0.198134,2.999996,-1.221108,2.106005,0.71614
2.6,2.523563,2.023517,0.458327,-0.932989,-2.093113,-1.539944,2.357353,0.61803
2.65,2.609917,1.436701,0.426904,-0.317161,0.650754,-1.457444,1.621612,0.531675
2.7,2.678942,1.332584,0.405993,-0.525859,-0.313803,-1.360552,1.559226,0.46265
2.75,2.739064,1.080459,0.38358,-0.377665,-0.019008,-1.377594,1.272473,0.402529
2.8,2.789208,0.933205,0.364611,-0.389973,-0.06723,-1.294079,1.131401,0.352385
2.85,2.832225,0.795078,0.345864,-0.369722,-0.03814,-1.223336,0.992056,0.309368
2.9,2.868959,0.681422,0.327951,-0.357007,-0.018449,-1.146198,0.879585,0.272634
2.95,2.900458,0.585219,0.310696,-0.343425,0.003058,-1.070539,0.784283,0.241135
3.0,2.927537,0.50411,0.294117,-0.329798,0.022667,-0.998,0.703717,0.214056
3.05,2.950889,0.435707,0.278212,-0.316158,0.039626,-0.929466,0.635268,0.190703
3.1,2.9711,0.377979,0.262978,-0.302549,0.053402,-0.865431,0.57674,0.170493
3.15,2.988658,0.329198,0.248412,-0.289031,0.063881,-0.806017,0.526315,0.152934
3.2,3.003974,0.287907,0.234507,-0.27566,0.071183,-0.751138,0.482505,0.137618
3.25,3.017391,0.252878,0.221255,-0.262489,0.075568,-0.700587,0.444103,0.124202
3.3,3.029195,0.223084,0.208644,-0.249572,0.077371,-0.65409,0.410144,0.112398
3.35,3.039626,0.197667,0.196661,-0.236955,0.076948,-0.611344,0.379859,0.101967
3.4,3.048884,0.175912,0.18529,-0.224679,0.074655,-0.572046,0.352637,0.092709
3.45,3.057137,0.157225,0.174514,-0.212776,0.070822,-0.535899,0.327996,0.084456
3.5,3.064525,0.141111,0.164313,-0.201275,0.065749,-0.502627,0.305552,0.077068
3.55,3.071166,0.127159,0.154669,-0.190194,0.059702,-0.471974,0.285001,0.070426
3.6,3.07716,0.115029,0.145559,-0.179549,0.052908,-0.44371,0.266099,0.064432
3.65,3.08259,0.104438,0.136962,-0.169348,0.045561,-0.417624,0.248648,0.059002
3.7,3.087527,0.095149,0.128857,-0.159594,0.037823,-0.393528,0.232488,0.054065
3.75,3.092031,0.086966,0.121221,-0.150287,0.029828,-0.371253,0.217486,0.049562
3.8,3.096152,0.079728,0.114033,-0.141422,0.021684,-0.350647,0.203531,0.04544
3.85,3.099935,0.073297,0.10727,-0.132993,0.013479,-0.331576,0.19053,0.041658
3.9,3.103416,0.06756,0.100913,-0.12499,0.005281,-0.313916,0.178403,0.038177
3.95,3.106628,0.062422,0.09494,-0.117401,-0.002855,-0.297559,0.167079,0.034965
4.0,3.109598,0.057803,0.08933,-0.110214,-0.010889,-0.282404,0.156498,0.031994
4.05,3.112351,0.053635,0.084066,-0.103415,-0.01879,-0.268364,0.146606,0.029241
4.1,3.114908,0.049863,0.079127,-0.096989,-0.026537,-0.255356,0.137355,0.026685
4.15,3.117287,0.046438,0.074496,-0.090921,-0.034115,-0.243307,0.128699,0.024306
4.2,3.119504,0.043319,0.070156,-0.085195,-0.041515,-0.232149,0.120601,0.022089
4.25,3.121573,0.040472,0.06609,-0.079797,-0.048734,-0.221821,0.113024,0.02002
4.3,3.123508,0.037867,0.062283,-0.074711,-0.05577,-0.212267,0.105933,0.018085
4.35,3.125319,0.035479,0.058718,-0.069921,-0.062627,-0.203435,0.0993,0.016273
4.4,3.127018,0.033285,0.055383,-0.065413,-0.069308,-0.195276,0.093094,0.014575
4.45,3.128612,0.031266,0.052264,-0.061172,-0.07582,-0.187748,0.08729,0.012981
4.5,3.130111,0.029406,0.049347,-0.057184,-0.082171,-0.180809,0.081864,0.011482
4.55,3.131521,0.027691,0.046622,-0.053435,-0.088369,-0.174421,0.076792,0.010072
4.6,3.13285,0.026107,0.044075,-0.049912,-0.094422,-0.168551,0.072054,0.008743
4.65,3.134103,0.024643,0.041697,-0.046602,-0.100341,-0.163165,0.06763,0.007489
4.7,3.135288,0.023289,0.039477,-0.043494,-0.106135,-0.158234,0.0635,0.006305
4.75,3.136408,0.022036,0.037406,-0.040575,-0.111813,-0.15373,0.059649,0.005185
4.8,3.137468,0.020877,0.035474,-0.037836,-0.117387,-0.149627,0.056061,0.004125
4.85,3.138473,0.019804,0.033673,-0.035264,-0.122865,-0.1459,0.052719,0.003119
4.9,3.139428,0.01881,0.031995,-0.03285,-0.128256,-0.142527,0.049612,0.002165
4.95,3.140335,0.01789,0.030432,-0.030585,-0.133571,-0.139488,0.046725,0.001258
5.0,3.141199,0.017039,0.028978,-0.02846,-0.138818,-0.136763,0.044047,0.000394
5.05,3.142022,0.016252,0.027625,-0.026466,-0.144005,-0.134333,0.041568,0.000429
5.1,3.142808,0.015523,0.026367,-0.024595,-0.149142,-0.132183,0.039276,0.001215
5.15,3.143559,0.01485,0.025199,-0.022839,-0.154236,-0.130295,0.037162,0.001967
5.2,3.144279,0.014228,0.024115,-0.021192,-0.159296,-0.128656,0.035217,0.002686
5.25,3.144969,0.013654,0.023109,-0.019646,-0.164329,-0.127252,0.033434,0.003376
5.3,3.145632,0.013125,0.022178,-0.018196,-0.169342,-0.12607,0.031804,0.004039
5.35,3.14627,0.012638,0.021315,-0.016834,-0.174341,-0.125099,0.030321,0.004677
5.4,3.146884,0.012191,0.020518,-0.015557,-0.179335,-0.124326,0.028976,0.005292
5.45,3.147478,0.01178,0.019782,-0.014357,-0.184329,-0.123743,0.027764,0.005886
5.5,3.148053,0.011403,0.019103,-0.01323,-0.18933,-0.12334,0.026678,0.00646
5.55,3.148609,0.011059,0.018478,-0.012172,-0.194343,-0.123107,0.025713,0.007017
5.6,3.14915,0.010745,0.017904,-0.011178,-0.199374,-0.123037,0.024861,0.007557
5.65,3.149675,0.01046,0.017377,-0.010244,-0.204429,-0.123122,0.024117,0.008083
5.7,3.150188,0.010201,0.016895,-0.009366,-0.209512,-0.123355,0.023475,0.008595
5.75,3.150688,0.009968,0.016454,-0.00854,-0.21463,-0.123729,0.02293,0.009096
5.8,3.151178,0.009758,0.016054,-0.007763,-0.219786,-0.124239,0.022474,0.009585
5.85,3.151657,0.00957,0.015691,-0.007032,-0.224987,-0.124878,0.022102,0.010065
5.9,3.152128,0.009403,0.015362,-0.006343,-0.230235,-0.125642,0.021809,0.010536
5.95,3.152592,0.009256,0.015067,-0.005694,-0.235536,-0.126525,0.021589,0.010999
6.0,3.153048,0.009127,0.014803,-0.005082,-0.240894,-0.127524,0.021436,0.011456
6.05,3.153499,0.009016,0.014568,-0.004504,-0.246314,-0.128634,0.021344,0.011906
6.1,3.153945,0.008922,0.014361,-0.003959,-0.251798,-0.129852,0.021309,0.012352
6.15,3.154386,0.008843,0.01418,-0.003443,-0.257352,-0.131174,0.021326,0.012794
6.2,3.154824,0.008779,0.014024,-0.002956,-0.262978,-0.132597,0.021391,0.013232
6.25,3.15526,0.008729,0.013891,-0.002495,-0.268682,-0.134119,0.021498,0.013667
6.3,3.155693,0.008692,0.01378,-0.002058,-0.274466,-0.135736,0.021645,0.0141
6.35,3.156125,0.008668,0.013691,-0.001643,-0.280333,-0.137446,0.021828,0.014532
6.4,3.156556,0.008656,0.013621,-0.001249,-0.286289,-0.139248,0.022044,0.014963
6.45,3.156987,0.008655,0.01357,-0.000875,-0.292335,-0.141139,0.022289,0.015394
6.5,3.157418,0.008665,0.013538,-0.000519,-0.298476,-0.143118,0.022562,0.015825
6.55,3.15785,0.008685,0.013522,-0.000179,-0.304714,-0.145183,0.022861,0.016257
6.6,3.158283,0.008715,0.013523,0.000145,-0.311054,-0.147333,0.023182,0.01669
6.65,3.158718,0.008754,0.01354,0.000455,-0.317498,-0.149567,0.023525,0.017125
6.7,3.159155,0.008802,0.013571,0.000752,-0.324049,-0.151884,0.023889,0.017563
6.75,3.159595,0.008859,0.013617,0.001037,-0.330712,-0.154282,0.024271,0.018003
