time_s,q1_rad,q1_dot_rads,q2_rad,q2_dot_rads,tau1_Nm,tau2_Nm,goal_dist,q1_err_rad
0.0,0.0,0.0,0.0,0.0,3.0,-2.007389,3.141593,3.141593
0.05,0.03456,1.358871,-0.078956,-3.101907,3.0,-3.0,4.596547,3.107032
0.1,0.139388,2.715347,-0.319638,-6.241152,3.0,-3.0,7.445837,3.002205
0.15,0.290033,3.168342,-0.664694,-7.221313,3.0,-3.0,8.411835,2.851559
0.2,0.446355,3.035177,-1.018125,-6.796327,3.0,-3.0,7.981432,2.695238
0.25,0.591606,2.771227,-1.339409,-6.042891,3.0,-3.0,7.245183,2.549986
0.3,0.723801,2.522337,-1.622828,-5.304384,3.0,-3.0,6.555758,2.417792
0.35,0.844449,2.308933,-1.871054,-4.636384,3.0,-3.0,5.966988,2.297144
0.4,0.955103,2.119755,-2.087538,-4.032532,3.0,-3.0,5.46747,2.18649
0.45,1.056503,1.935292,-2.275159,-3.48001,3.0,-3.0,5.037834,2.08509
0.5,1.148364,1.734984,-2.436245,-2.970008,3.0,-3.0,4.66255,1.993229
0.55,1.229461,1.502702,-2.572777,-2.497017,3.0,-3.0,4.332278,1.912132
0.6,1.297975,1.231338,-2.686476,-2.055709,3.0,-3.0,4.044529,1.843618
0.65,1.351986,0.923772,-2.77876,-1.639079,-3.0,-3.0,3.803174,1.789607
0.7,1.362572,-0.514528,-2.849244,-1.185696,-3.0,-3.0,3.599128,1.779021
0.75,1.299808,-1.996661,-2.897278,-0.730875,-3.0,-3.0,4.03822,1.841784
0.8,1.163489,-3.443247,-2.921575,-0.231962,-3.0,-3.0,4.935407,1.978103
0.85,0.957563,-4.763552,-2.919506,0.324697,-3.0,-3.0,6.007525,2.18403
0.9,0.691289,-5.833126,-2.888087,0.942757,-3.0,-3.0,7.018489,2.450304
0.95,0.381074,-6.494576,-2.824169,1.624039,-3.0,-3.0,7.772607,2.760519
1.0,0.050972,-6.614225,-2.725009,2.343162,-3.0,-3.0,8.137321,3.09062
1.05,-0.271085,-6.187567,-2.590814,3.001882,-3.0,-3.0,8.102836,3.412677
1.1,-0.561473,-5.385763,-2.428535,3.439203,-3.0,-3.0,7.77464,3.703065
1.15,-0.807332,-4.439803,-2.252822,3.524942,-3.0,-0.83052,7.266793,3.948925
1.2,-1.008045,-3.595832,-2.070359,3.719538,-3.0,3.0,6.947723,4.149637
1.25,-1.174147,-3.074568,-1.862372,4.587188,-3.0,3.0,7.251848,4.31574
1.3,-1.318893,-2.756476,-1.611115,5.48948,-3.0,3.0,7.760424,4.460486
1.35,-1.454759,-2.740891,-1.308009,6.72766,3.0,0.176728,8.695471,4.596352
